,plant,country,region,customer,date,carbuilds
257,Port Elizabeth,South Africa,Middle East/Africa,BAIC,jan 2010,0
258,Port Elizabeth,South Africa,Middle East/Africa,BAIC,jan 2010,0
259,Poznan,Poland,Europe,Volkswagen,jan 2010,8672
260,Prospecton,South Africa,Middle East/Africa,Toyota,jan 2010,0
261,Rastatt,Germany,Europe,Daimler,jan 2010,11029
262,Rayen,Iran,Middle East/Africa,FAW,jan 2010,0
263,Rayen,Iran,Middle East/Africa,FAW,jan 2010,0
264,Rayen,Iran,Middle East/Africa,FAW,jan 2010,608
265,Regensburg,Germany,Europe,BMW,jan 2010,16154
266,Relizane (GICM-Ford),Algeria,Middle East/Africa,Ford,jan 2010,0
267,Relizane (SOVAC-VW),Algeria,Middle East/Africa,Volkswagen,jan 2010,0
268,Rennes,France,Europe,PSA,jan 2010,0
269,Rennes,France,Europe,PSA,jan 2010,10545
270,Rosslyn,South Africa,Middle East/Africa,BMW,jan 2010,4201
271,Rosslyn,South Africa,Middle East/Africa,Renault-Nissan-Mitsubishi,jan 2010,2882
272,Rosslyn,South Africa,Middle East/Africa,Tata,jan 2010,0
273,Russelsheim,Germany,Europe,PSA,jan 2010,11290
274,Saarlouis,Germany,Europe,Ford,jan 2010,22666
275,Saida,Algeria,Middle East/Africa,Suzuki,jan 2010,0
276,Sakarya,Turkey,Europe,Toyota,jan 2010,7739
277,Salafchegan,Iran,Middle East/Africa,Hyundai,jan 2010,0
278,Sandouville,France,Europe,Renault-Nissan-Mitsubishi,jan 2010,5769
279,Sant-Agata,Italy,Europe,Volkswagen,jan 2010,92
280,Saveh,Iran,Middle East/Africa,Renault-Nissan-Mitsubishi,jan 2010,146
281,Saveh,Iran,Middle East/Africa,Renault-Nissan-Mitsubishi,jan 2010,0
282,Saveh,Iran,Middle East/Africa,Renault-Nissan-Mitsubishi,jan 2010,0
283,Saveh,Iran,Middle East/Africa,Renault-Nissan-Mitsubishi,jan 2010,0
284,Semey,Kazakhstan,Europe,SemAZ,jan 2010,0
285,Semnan,Iran,Middle East/Africa,Farda Khodro,jan 2010,0
286,Semnan,Iran,Middle East/Africa,Farda Khodro,jan 2010,0
287,Setubal,Portugal,Europe,Volkswagen,jan 2010,6974
288,Shushary,Russia,Europe,General Motors,jan 2010,681
289,Silverton,South Africa,Middle East/Africa,Ford,jan 2010,733
290,Silverton,South Africa,Middle East/Africa,Ford,jan 2010,740
291,Sindelfingen #1,Germany,Europe,Daimler,jan 2010,28136
292,Sindelfingen #2,Germany,Europe,Daimler,jan 2010,10
293,Sochaux,France,Europe,PSA,jan 2010,30374
294,Solihull,United Kingdom,Europe,Tata,jan 2010,10193
295,Southampton,United Kingdom,Europe,Ford,jan 2010,2342
296,Springs,South Africa,Middle East/Africa,BAIC,jan 2010,0
297,St. Athan,United Kingdom,Europe,Aston Martin,jan 2010,0
298,St. Petersburg,Russia,Europe,Hyundai,jan 2010,0
299,St. Petersburg,Russia,Europe,Renault-Nissan-Mitsubishi,jan 2010,323
300,St. Petersburg,Russia,Europe,Toyota,jan 2010,812
301,Struandale,South Africa,Middle East/Africa,General Motors,jan 2010,792
302,Struandale,South Africa,Middle East/Africa,General Motors,jan 2010,0
303,Struandale,South Africa,Middle East/Africa,General Motors,jan 2010,0
304,Sunderland #1,United Kingdom,Europe,Renault-Nissan-Mitsubishi,jan 2010,0
305,Sunderland #1,United Kingdom,Europe,Renault-Nissan-Mitsubishi,jan 2010,15508
306,Sunderland #2,United Kingdom,Europe,Renault-Nissan-Mitsubishi,jan 2010,19369
307,Suzzara,Italy,Europe,CNH Industrial,jan 2010,2327
308,Swindon,United Kingdom,Europe,Honda,jan 2010,9471
309,Tabriz (IKCO),Iran,Middle East/Africa,Iran Khodro,jan 2010,5799
310,Tabriz (IKCO),Iran,Middle East/Africa,Iran Khodro,jan 2010,0
311,Tabriz (SAIPA),Iran,Middle East/Africa,SAIPA,jan 2010,0
312,Tafraoui,Algeria,Middle East/Africa,PSA,jan 2010,0
313,Taganrog,Russia,Europe,TagAZ,jan 2010,0
314,Taganrog,Russia,Europe,TagAZ,jan 2010,0
315,Taganrog,Russia,Europe,TagAZ,jan 2010,396
316,Taganrog,Russia,Europe,TagAZ,jan 2010,73
317,Taganrog,Russia,Europe,TagAZ,jan 2010,0
318,Taganrog,Russia,Europe,TagAZ,jan 2010,694
319,Taganrog,Russia,Europe,TagAZ,jan 2010,0
320,Taganrog,Russia,Europe,TagAZ,jan 2010,636
321,Taganrog,Russia,Europe,TagAZ,jan 2010,0
322,Tangier,Morocco,Middle East/Africa,Renault-Nissan-Mitsubishi,jan 2010,0
323,Tashkent,Uzbekistan,Europe,General Motors,jan 2010,276
324,Tehran,Iran,Middle East/Africa,Morattab,jan 2010,0
325,Tehran,Iran,Middle East/Africa,Sollers,jan 2010,0
326,Tehran (Bahman),Iran,Middle East/Africa,Bahman Group,jan 2010,0
327,Tehran (Bahman),Iran,Middle East/Africa,Bahman Group,jan 2010,0
328,Tehran (Bahman),Iran,Middle East/Africa,Bahman Group,jan 2010,1233
329,Tehran (Bahman),Iran,Middle East/Africa,Bahman Group,jan 2010,0
330,Tehran (Bahman),Iran,Middle East/Africa,Bahman Group,jan 2010,0
331,Tehran (Bahman),Iran,Middle East/Africa,Bahman Group,jan 2010,2840
332,Tehran (Bahman),Iran,Middle East/Africa,Bahman Group,jan 2010,19
333,Tehran (IKCO Diesel),Iran,Middle East/Africa,Iran Khodro,jan 2010,0
334,Tehran (IKCO),Iran,Middle East/Africa,Iran Khodro,jan 2010,0
335,Tehran (IKCO),Iran,Middle East/Africa,Iran Khodro,jan 2010,11192
336,Tehran (IKCO),Iran,Middle East/Africa,Iran Khodro,jan 2010,48959
337,Tehran (IKCO),Iran,Middle East/Africa,Iran Khodro,jan 2010,910
338,Tehran (Pars Khodro),Iran,Middle East/Africa,SAIPA,jan 2010,0
339,Tehran (Pars Khodro),Iran,Middle East/Africa,SAIPA,jan 2010,18469
340,Tehran (Pars Khodro),Iran,Middle East/Africa,SAIPA,jan 2010,4413
341,Tehran (Pars Khodro),Iran,Middle East/Africa,SAIPA,jan 2010,3420
342,Tehran (SAIPA),Iran,Middle East/Africa,SAIPA,jan 2010,0
343,Tehran (SAIPA),Iran,Middle East/Africa,SAIPA,jan 2010,0
344,Tehran (SAIPA),Iran,Middle East/Africa,SAIPA,jan 2010,20
345,Tehran (SAIPA),Iran,Middle East/Africa,SAIPA,jan 2010,13720
346,Tehran (SAIPA),Iran,Middle East/Africa,SAIPA,jan 2010,767
347,Tehran (SAIPA),Iran,Middle East/Africa,SAIPA,jan 2010,8000
348,Tehran (SAIPA),Iran,Middle East/Africa,SAIPA,jan 2010,0
349,Tehran (Zamyad),Iran,Middle East/Africa,SAIPA,jan 2010,25
350,Tehran (Zamyad),Iran,Middle East/Africa,SAIPA,jan 2010,0
351,Tehran (Zamyad),Iran,Middle East/Africa,SAIPA,jan 2010,0
352,Tehran (Zamyad),Iran,Middle East/Africa,SAIPA,jan 2010,60
353,Tehran (Zamyad),Iran,Middle East/Africa,SAIPA,jan 2010,5318
354,Termini Imerese,Italy,Europe,FCA,jan 2010,3949
355,Togliatti,Russia,Europe,General Motors,jan 2010,1627
356,Togliatti,Russia,Europe,Renault-Nissan-Mitsubishi,jan 2010,15391
357,Togliatti,Russia,Europe,Renault-Nissan-Mitsubishi,jan 2010,0
358,Toos,Iran,Middle East/Africa,Chery,jan 2010,0
359,Torslanda,Sweden,Europe,Geely,jan 2010,6499
360,Torslanda,Sweden,Europe,Geely,jan 2010,0
361,Tramagal,Portugal,Europe,Daimler,jan 2010,162
362,Trnava,Slovakia,Europe,PSA,jan 2010,16926
363,Trollhattan,Sweden,Europe,NEVS,jan 2010,0
364,Trollhattan,Sweden,Europe,Saab Spyker,jan 2010,1482
365,Tychy,Poland,Europe,FCA,jan 2010,52587
366,Uddevalla-Pinin,Sweden,Europe,Pininfarina,jan 2010,630
367,Uitenhage,South Africa,Middle East/Africa,Volkswagen,jan 2010,5659
368,Ulyanovsk,Russia,Europe,Sollers,jan 2010,0
369,Ulyanovsk,Russia,Europe,Sollers,jan 2010,731
370,Ust-Kamenogorsk,Kazakhstan,Europe,Asia Avto,jan 2010,24
371,Ust-Kamenogorsk,Kazakhstan,Europe,Asia Avto,jan 2010,46
372,Ust-Kamenogorsk,Kazakhstan,Europe,Asia Avto,jan 2010,0
373,Ust-Kamenogorsk,Kazakhstan,Europe,Asia Avto,jan 2010,0
374,Ust-Kamenogorsk,Kazakhstan,Europe,Asia Avto,jan 2010,0
375,Ust-Kamenogorsk,Kazakhstan,Europe,Asia Avto,jan 2010,0
376,Uusikaupunki,Finland,Europe,Valmet,jan 2010,0
377,Uusikaupunki,Finland,Europe,Valmet,jan 2010,0
378,Uusikaupunki,Finland,Europe,Valmet,jan 2010,2
379,Uusikaupunki,Finland,Europe,Valmet,jan 2010,606
380,Uzlovaya,Russia,Europe,Great Wall,jan 2010,0
381,Val di Sangro,Italy,Europe,FCA,jan 2010,14466
382,Valencia #1,Spain,Europe,Ford,jan 2010,15037
383,Valencia #2,Spain,Europe,Ford,jan 2010,7173
384,Valenciennes,France,Europe,PSA,jan 2010,7587
385,Valenciennes-Onnaing,France,Europe,Toyota,jan 2010,20112
386,Valladolid,Spain,Europe,CNH Industrial,jan 2010,1058
387,Valladolid,Spain,Europe,Renault-Nissan-Mitsubishi,jan 2010,9558
388,Vendas Novas,Portugal,Europe,Isuzu,jan 2010,30
